Trondheim-priser i Elspot pr time for 2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Timeveid pris (NOK/MWh);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oppgi kilde: Nord Pool;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date;Hour;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;Kjøredag;Døgnpris;;;;;;;
31.12.13;232,76;226,01;225,57;225,2;224,83;227,18;236,58;239,3;242,75;244,73;250,17;251,05;252;252,15;253,76;255,16;259,56;258,9;254,72;253,32;250,46;248,18;244,59;228,65;31.12.12;243,23;;;;Trondheimpris for Elspot i 2013;;;
01.01.14;227,92;226,23;225,93;225,49;224,91;224,54;224,98;225,64;224,91;224,83;226,89;233,06;244,07;244,73;247,52;249,65;256,7;266,1;268,67;266,83;260,45;252,66;254,42;238,27;01.01.13;240,23;;;Uke;;;;
02.01.14;241,13;237,54;233,72;236,21;242,09;257,14;266,98;285,26;289,45;282,99;284,02;282,62;279,54;278,66;278,36;285,26;293,12;297,53;290,92;284,53;275,06;271,24;267,05;254,13;02.01.13;270,61;;;1;253,62;;Januar;306,72
03.01.14;240,79;229,3;225,93;226,23;238,45;250,82;257,92;262,24;266,33;267,29;268,68;267,87;267,21;266,41;266,48;268,38;272,41;271,6;269,85;266,48;262,68;259,31;254,33;220,88;03.01.13;256,16;;;2;295,87;;Februar;293,08
04.01.14;220,19;209,18;208,67;208,74;210,71;237,18;251,84;262,86;269,49;267,53;268,4;267,23;265,92;264,9;261,4;263,15;268,33;273;270,95;265,99;262,78;258,41;256,44;239,81;04.01.13;251,38;;;3;347,2;;Mars;333,05
05.01.14;247,46;239,95;235,2;235,86;239,14;246,29;248,26;248,19;251,55;263,01;267,89;268,19;266,58;263,66;263,81;268,48;278,18;282,34;280,3;269,72;264,54;261,84;260,52;258,63;05.01.13;258,73;;;4;341,31;;April;349,04
06.01.14;255,28;242,04;236,03;237,21;237,5;240,06;243,5;241,3;246,28;250,67;256,23;262,97;261,94;256,38;255,06;257,48;263,11;273,43;276,29;273,87;270,51;263,92;263,26;255,5;06.01.13;254,99;;;5;272,67;;Mai;279,6
07.01.14;255,87;246,65;242,4;243,43;250,16;262,53;283,61;298,17;310,69;309,96;307,98;306,3;295,68;293,78;299,12;307,47;313,91;307,76;299,2;286,46;278,48;274,09;267,07;260,19;07.01.13;283,37;;;6;286,04;;Juni;263,98
08.01.14;259,33;256,19;254,87;254,94;257,65;265,99;288,24;311,95;321,38;314,65;308,51;304,48;303,6;302,36;303,75;319,77;330,31;328,48;319,41;309,09;293,29;287,65;279,6;264,31;08.01.13;293,33;;;7;301,45;;Juli;268,27
09.01.14;267,51;263,33;259,66;262,08;263,4;273,38;289;314,23;329,56;314,23;305,21;301,25;298,9;305,14;300,44;305,8;325,89;324,13;309,83;294,43;286,29;278,36;269,12;258,49;09.01.13;291,65;;;8;295,81;;August;287,44
10.01.14;255,73;252;241,66;249,8;262,04;271,79;284,54;309,24;334,16;319,65;311,44;310,19;311,07;317,45;325,88;335,55;378,51;381,36;323,53;307,48;296,93;290,92;284,32;273,69;10.01.13;301,21;;;9;296,05;;September;345,14
11.01.14;270,43;264,14;261,51;258,08;261;278,47;297,03;343,3;362,59;355,14;342,06;328,46;327,22;321,81;330;333,36;363,91;369,68;331,02;309,39;295,79;289,72;283,88;275,11;11.01.13;310,55;;;10;302,35;;Oktober;337,19
12.01.14;279,07;275,98;271,42;272,01;271,12;273,92;278,77;284,07;288,85;297,97;303,19;305,25;303,27;301,21;301,21;317,54;345,56;393,15;361,6;313,86;295,03;292,82;290,84;279,73;12.01.13;299,89;;;11;348,62;;November;305,51
13.01.14;285,51;283,07;279,68;271,64;272,08;275,62;275,18;278,06;279,09;283,81;288,68;293,33;291,86;288,17;287,58;291,49;298,05;327,5;352,22;317,9;299,83;292,52;292,67;280,56;13.01.13;291,09;;;12;352,3;;Desember;272,78
14.01.14;272,23;270,38;270,16;271,78;278,2;284,99;313,18;447,41;458,04;374,06;345,65;332,74;337,9;386,9;412,58;417,38;424,46;458,48;358,64;331,63;315,32;307,35;298,72;280,56;14.01.13;343,7;;;13;347,13;;Året;303,43
